id,type,parent_id,topology__is_apical,arch_dev__pot_flowering_date,arch_dev__pot_nb_inflo,arch_dev__pot_nb_fruit,growth__nb_leaf,growth__radius_gu,appearance__final_length_gu,environment_id,light_interception__sunlit_fraction_col
1103,GU,1102,1,NAT,NA,NA,0,NA,8,NA,3
1104,GU,1103,1,NAT,NA,NA,0,NA,5,NA,3
1105,GU,1104,0,NAT,NA,NA,6,0.1715,7,G3_34B,3
1106,GU,1104,0,NAT,NA,NA,5,0.21,7,G3_34B,3
1107,GU,1104,0,NAT,NA,NA,5,0.1815,6,G3_34B,3
1108,GU,1091,0,NAT,NA,NA,0,NA,12,NA,3
1109,GU,1108,1,NAT,NA,NA,6,NA,18,G3_34D,3
1110,GU,1109,1,NAT,NA,NA,0,NA,8,NA,3
1111,GU,1110,1,NAT,NA,NA,11,NA,12,G3_34C,3
1112,GU,1111,0,NAT,NA,NA,9,0.197,9,G3_34C,3
1113,GU,1111,0,NAT,NA,NA,11,NA,12,G3_34C,3
1114,GU,1113,1,NAT,NA,NA,10,0.3235,11,G3_34C,3
1115,GU,1091,0,NAT,NA,NA,0,NA,5,NA,3
1116,GU,1115,1,NAT,NA,NA,0,NA,9,NA,3
1117,GU,1116,1,NAT,NA,NA,0,NA,11,NA,3
1118,GU,1117,1,NAT,NA,NA,NA,NA,8,NA,3
1119,GU,1118,1,NAT,NA,NA,0,NA,4,NA,3
1120,GU,1119,1,NAT,NA,NA,1,NA,4,G3_34F,3
1121,GU,1120,1,NAT,NA,NA,10,NA,5,G3_34F,3
1122,GU,1121,1,2020-09-12,1,1,10,0.359,9,G3_34F,3
1123,GU,1116,0,NAT,NA,NA,0,NA,8,NA,3
1124,GU,1123,1,NAT,NA,NA,0,NA,15,NA,3
1125,GU,1124,0,NAT,NA,NA,2,0.145,5,G3_34F,3
1126,GU,1124,0,NAT,NA,NA,6,0.141,7,G3_34F,3
1127,GU,1124,0,NAT,NA,NA,9,0.2025,8,G3_34F,3
1128,GU,1116,0,NAT,NA,NA,0,NA,10,NA,3
1129,GU,1128,1,NAT,NA,NA,0,NA,13,NA,3
1130,GU,1129,1,NAT,NA,NA,0,NA,2,NA,3
1131,GU,1130,0,NAT,NA,NA,0,NA,4,NA,3
1132,GU,1131,1,NAT,NA,NA,2,0.1205,3,G3_34E,3
1133,GU,1130,0,NAT,NA,NA,0,NA,7,NA,3
1134,GU,1133,0,NAT,NA,NA,5,0.162,6,G3_34E,3
1135,GU,1133,0,NAT,NA,NA,8,0.22,6,G3_34E,3
1136,GU,1115,0,NAT,NA,NA,0,NA,8,NA,3
1137,GU,1136,1,NAT,NA,NA,2,NA,13,G3_34D,3
1138,GU,1137,1,NAT,NA,NA,6,0.1705,4,G3_34D,3
1139,scaffold,558,0,NAT,NA,NA,0,5.41,44,NA,3
