id,type,parent_id,scaffold_id,topology__is_apical,arch_dev__pot_flowering_date,arch_dev__pot_nb_inflo,arch_dev__pot_nb_fruit,id_fruit,fruit_fresh_mass,fruit_dry_mass,growth__nb_leaf,growth__radius_gu,appearance__final_length_gu,environment_id,light_interception__sunlit_fraction_col
39,GU,38,1,1,NAT,NA,NA,,NA,NA,0,0.304908677945377,8,NA,3
40,GU,39,1,0,NAT,NA,NA,,NA,NA,4,0.1425,3,G3_02H,3
41,GU,39,1,0,NAT,NA,NA,,NA,NA,4,0.166,4,G3_02H,3
42,GU,14,1,0,NAT,NA,NA,,NA,NA,0,0.422168356392328,10,NA,3
43,GU,42,1,1,NAT,NA,NA,,NA,NA,0,0.373943145619643,7,NA,3
44,GU,43,1,1,NAT,NA,NA,,NA,NA,5,0.322599014564652,3,G3_02H,3
45,GU,44,1,1,NAT,NA,NA,,NA,NA,9,0.266,8,G3_02H,3
46,GU,18,1,0,NAT,NA,NA,,NA,NA,0,0.433858689423633,6,NA,3
47,GU,46,1,1,NAT,NA,NA,,NA,NA,14,0.328371298651214,17,G3_02E,3
48,GU,47,1,1,NAT,NA,NA,,NA,NA,15,0.2725,15,G3_02E,3
49,GU,46,1,0,NAT,NA,NA,,NA,NA,2,0.128,7,G3_02E,3
50,GU,46,1,0,NAT,NA,NA,,NA,NA,5,0.1515,9,G3_02E,3
51,GU,18,1,0,NAT,NA,NA,,NA,NA,0,0.7135,9,NA,3
52,GU,51,1,1,NAT,NA,NA,,NA,NA,3,0.475038725732394,17,G3_02D,3
53,GU,52,1,1,NAT,NA,NA,,NA,NA,17,0.333731575151475,22,G3_02D,3
54,GU,53,1,1,NAT,NA,NA,,NA,NA,16,0.2785,13,G3_02D,3
55,GU,52,1,0,NAT,NA,NA,,NA,NA,11,0.2185,16,G3_02D,3
56,GU,52,1,0,NAT,NA,NA,,NA,NA,9,0.2245,15,G3_02D,3
57,GU,51,1,0,NAT,NA,NA,,NA,NA,0,0.44131737583522,17,NA,3
58,GU,57,1,1,2020-09-12,2,2,2.2a,NA,NA,18,0.394,23,G3_02A,3
59,GU,51,1,0,NAT,NA,NA,,NA,NA,2,0.347257194294207,12,G3_02C,3
60,GU,59,1,1,NAT,NA,NA,,NA,NA,15,0.2935,19,G3_02C,3
61,GU,51,1,0,NAT,NA,NA,,NA,NA,9,0.339121087682091,15,G3_02B,3
62,GU,61,1,1,NAT,NA,NA,,NA,NA,16,0.2845,18,G3_02B,3
63,GU,19,1,0,NAT,NA,NA,,NA,NA,3,0.8505,17,G3_03E,3
64,GU,63,1,1,NAT,NA,NA,,NA,NA,0,0.757592950397373,6,NA,3
65,GU,64,1,1,NAT,NA,NA,,NA,NA,9,0.665661328612377,18,G3_03B,3
66,GU,65,1,0,NAT,NA,NA,,NA,NA,11,0.3065,24,G3_03A,3
67,GU,65,1,0,NAT,NA,NA,,NA,NA,11,0.2245,18,G3_03A,3
68,GU,65,1,0,NAT,NA,NA,,NA,NA,18,0.3725,30,G3_03A,3
69,GU,65,1,0,2020-09-12,2,2,3b.3a,NA,NA,7,0.3075,20,G3_03A,3
70,GU,65,1,0,NAT,NA,NA,,NA,NA,10,0.279,22,G3_03A,3
71,GU,65,1,0,2020-09-12,1,1,3,NA,NA,10,0.341,25,G3_03A,3
72,GU,64,1,0,NAT,NA,NA,,NA,NA,1,0.268576239414221,7,G3_03B,3
73,GU,72,1,1,NAT,NA,NA,,NA,NA,6,0.2025,12,G3_03B,3
74,GU,64,1,0,NAT,NA,NA,,NA,NA,1,0.274689636504337,8,G3_03B,3
75,GU,74,1,1,NAT,NA,NA,,NA,NA,8,0.21,11,G3_03B,3
76,GU,64,1,0,NAT,NA,NA,,NA,NA,2,0.446167792316686,13,G3_03C,3
77,GU,76,1,0,NAT,NA,NA,,NA,NA,10,0.206,16,G3_03C,3
78,GU,76,1,0,NAT,NA,NA,,NA,NA,12,0.2985,21,G3_03C,3
79,GU,76,1,0,NAT,NA,NA,,NA,NA,8,0.1835,13,G3_03C,3
80,GU,63,1,0,NAT,NA,NA,,NA,NA,5,0.1725,12,G3_03C,3
81,GU,19,1,0,NAT,NA,NA,,NA,NA,2,0.8545,15,G3_03E,3
82,GU,81,1,0,NAT,NA,NA,,NA,NA,4,0.290531616265915,10,G3_03E,3
83,GU,82,1,1,NAT,NA,NA,,NA,NA,9,0.229,15,G3_03E,3
84,GU,81,1,0,NAT,NA,NA,,NA,NA,11,0.416050089698205,16,G3_03F,3
85,GU,84,1,1,NAT,NA,NA,,NA,NA,18,0.3675,22,G3_03F,3
86,GU,81,1,0,NAT,NA,NA,,NA,NA,0,0.723750448555702,6,G3_03D,3
87,GU,86,1,1,NAT,NA,NA,,NA,NA,9,0.441210535447926,17,G3_03D,3
88,GU,87,1,1,NAT,NA,NA,,NA,NA,13,0.393888521962858,27,G3_03D,3
89,GU,88,1,1,NAT,NA,NA,,NA,NA,0,0.344,15,G3_03D,3
90,GU,86,1,0,NAT,NA,NA,,NA,NA,13,0.345443977404564,23,G3_03D,3
91,GU,90,1,1,NAT,NA,NA,,NA,NA,4,0.2915,12,G3_03D,3
92,GU,86,1,0,NAT,NA,NA,,NA,NA,10,0.361404048701844,25,G3_03D,3
93,GU,92,1,1,NAT,NA,NA,,NA,NA,14,0.309,13,G3_03D,3
94,GU,86,1,0,NAT,NA,NA,,NA,NA,12,0.277983965303909,20,G3_03D,3
95,GU,94,1,1,NAT,NA,NA,,NA,NA,12,0.214,8,G3_03D,3
96,GU,86,1,0,NAT,NA,NA,,NA,NA,10,0.327925973621616,22,G3_03D,3
97,GU,96,1,1,NAT,NA,NA,,NA,NA,2,0.272,9,G3_03D,3
98,GU,86,1,0,NAT,NA,NA,,NA,NA,12,0.277158244091141,20,G3_03D,3
99,GU,98,1,1,NAT,NA,NA,,NA,NA,12,0.213,8,G3_03D,3
100,GU,3,1,1,NAT,NA,NA,,NA,NA,0,1.5017344953279,18,NA,3
101,GU,100,1,1,NAT,NA,NA,,NA,NA,0,1.59811548484314,13,NA,3
102,GU,101,1,1,NAT,NA,NA,,NA,NA,0,1.53390974738388,28,NA,3
103,GU,102,1,1,NAT,NA,NA,,NA,NA,0,1.62901673798996,6,NA,3
104,GU,103,1,1,NAT,NA,NA,,NA,NA,0,1.56389645536277,14,NA,3
105,GU,104,1,1,NAT,NA,NA,,NA,NA,0,1.49664115687199,17,NA,3
106,GU,105,1,1,NAT,NA,NA,,NA,NA,0,1.43539104639401,6,NA,3
107,GU,106,1,1,NAT,NA,NA,,NA,NA,0,1.37588483098791,4,NA,3
108,GU,107,1,1,NAT,NA,NA,,NA,NA,0,1.31803919010636,8,NA,3
109,GU,108,1,1,NAT,NA,NA,,NA,NA,0,1.26177160083895,18,NA,3
110,GU,109,1,1,NAT,NA,NA,,NA,NA,2,1.207,9,NA,3
111,GU,104,1,0,NAT,NA,NA,,NA,NA,0,0.770703876843331,9,NA,3
112,GU,111,1,1,NAT,NA,NA,,NA,NA,0,0.769030084088651,3,NA,3
113,GU,112,1,1,NAT,NA,NA,,NA,NA,0,0.7565,9,NA,3
114,GU,113,1,0,NAT,NA,NA,,NA,NA,6,0.2365,15,G3_01J,3
115,GU,112,1,0,NAT,NA,NA,,NA,NA,7,0.2565,16,G3_01J,3
116,GU,111,1,0,NAT,NA,NA,,NA,NA,3,0.223,12,G3_01J,3
117,GU,102,1,0,NAT,NA,NA,,NA,NA,7,0.265,12,G3_01K,3
118,GU,100,1,0,NAT,NA,NA,,NA,NA,10,0.233,9,G3_01L,3
119,GU,3,1,0,NAT,NA,NA,,NA,NA,11,0.385,18,G3_01L,3
120,GU,3,1,0,NAT,NA,NA,,NA,NA,1,0.22,8,G3_01L,3
121,GU,110,1,1,NAT,NA,NA,,NA,NA,0,1.0485,20,NA,3
122,GU,121,1,0,NAT,NA,NA,,NA,NA,0,0.383843241205637,14,NA,3
123,GU,122,1,0,NAT,NA,NA,,NA,NA,5,0.1615,6,G3_01C,3
124,GU,122,1,0,NAT,NA,NA,,NA,NA,8,0.293526075637428,8,G3_01C,3
125,GU,124,1,1,NAT,NA,NA,,NA,NA,3,0.232529917040119,4,G3_01C,3
126,GU,125,1,1,NAT,NA,NA,,NA,NA,3,0.1555,2,G3_01C,3
127,GU,121,1,0,NAT,NA,NA,,NA,NA,0,0.388381810846669,11,NA,3
128,GU,127,1,1,NAT,NA,NA,,NA,NA,0,0.338117251191912,5,NA,3
129,GU,128,1,1,NAT,NA,NA,,NA,NA,6,0.283384847101402,9,G3_01B,3
130,GU,129,1,1,NAT,NA,NA,,NA,NA,7,0.2205,6,G3_01B,3
131,GU,121,1,0,NAT,NA,NA,,NA,NA,0,0.516200953863157,18,NA,3
132,GU,131,1,0,NAT,NA,NA,,NA,NA,3,0.339246532640534,6,G3_01A,3
133,GU,132,1,1,NAT,NA,NA,,NA,NA,3,0.284639280380774,6,G3_01A,3
134,GU,133,1,1,NAT,NA,NA,,NA,NA,9,0.222,7,G3_01A,3
135,GU,131,1,0,NAT,NA,NA,,NA,NA,5,0.371774174782091,10,G3_01A,3
136,GU,135,1,1,NAT,NA,NA,,NA,NA,8,0.32025529542316,6,G3_01A,3
137,GU,136,1,1,NAT,NA,NA,,NA,NA,12,0.263348653442703,9,G3_01A,3
138,GU,137,1,1,NAT,NA,NA,,NA,NA,2,0.196,5,G3_01A,3
139,GU,110,1,0,NAT,NA,NA,,NA,NA,0,0.363483836620662,10,NA,3
140,GU,139,1,1,NAT,NA,NA,,NA,NA,0,0.311264140652669,8,NA,3
141,GU,140,1,1,NAT,NA,NA,,NA,NA,3,0.253107258235881,4,G3_01F,3
142,GU,141,1,1,NAT,NA,NA,,NA,NA,6,0.183,5,G3_01F,3
143,GU,110,1,0,NAT,NA,NA,,NA,NA,0,0.303623354386047,11,NA,3
144,GU,143,1,0,NAT,NA,NA,,NA,NA,2,0.244308851196768,5,G3_01E,3
145,GU,144,1,1,NAT,NA,NA,,NA,NA,5,0.1715,4,G3_01E,3
146,GU,110,1,0,NAT,NA,NA,,NA,NA,0,0.456646735111455,12,NA,3
147,GU,146,1,1,NAT,NA,NA,,NA,NA,1,0.409949403630085,16,G3_01D,3
148,GU,147,1,0,NAT,NA,NA,,NA,NA,4,0.149,6,G3_01D,3
149,GU,147,1,0,NAT,NA,NA,,NA,NA,0,0.338493245797,4,NA,3
150,GU,149,1,1,NAT,NA,NA,,NA,NA,10,0.283802661950315,8,G3_01D,3
151,GU,150,1,1,NAT,NA,NA,,NA,NA,8,0.221,4,G3_01D,3
152,GU,110,1,0,NAT,NA,NA,,NA,NA,0,0.7375,15,NA,3
153,GU,152,1,0,NAT,NA,NA,,NA,NA,0,0.315369020494189,14,NA,3
154,GU,153,1,1,NAT,NA,NA,,NA,NA,4,0.257797166443087,7,G3_01I,3
155,GU,154,1,1,NAT,NA,NA,,NA,NA,7,0.189,4,G3_01I,3
156,GU,152,1,0,NAT,NA,NA,,NA,NA,0,0.39414631349462,15,NA,3
157,GU,156,1,1,NAT,NA,NA,,NA,NA,0,0.344274942759955,3,NA,3
