id,type,parent_id,scaffold_id,topology__is_apical,arch_dev__pot_flowering_date,arch_dev__pot_nb_inflo,arch_dev__pot_nb_fruit,growth__nb_leaf,growth__radius_gu,appearance__final_length_gu,environment_id,light_interception__sunlit_fraction_col
48,GU,26,2,0,NAT,NA,NA,0,1.24580710201782,3,NA,3
49,GU,48,2,1,NAT,NA,NA,0,1.19145219882767,9,NA,3
50,GU,49,2,1,NAT,NA,NA,0,1.13848756758644,12,NA,3
51,GU,50,2,1,NAT,NA,NA,0,1.08683062329692,12,NA,3
52,GU,51,2,0,NAT,NA,NA,0,0.682418178780002,9,NA,3
53,GU,52,2,0,NAT,NA,NA,0,0.406187801913853,6,NA,3
54,GU,53,2,1,NAT,NA,NA,0,0.3570748555126,6,NA,3
55,GU,54,2,1,NAT,NA,NA,0,0.304275503258588,7,NA,3
56,GU,55,2,0,NAT,NA,NA,7,0.245063472141167,5,E16_03D,3
57,GU,56,2,1,NAT,NA,NA,6,0.1725,5,E16_03D,3
58,GU,52,2,0,NAT,NA,NA,0,0.569415534393539,7,NA,3
59,GU,58,2,1,NAT,NA,NA,0,0.525206774953271,9,NA,3
60,GU,59,2,1,NAT,NA,NA,0,0.457338141557551,8,NA,3
61,GU,60,2,1,NAT,NA,NA,5,0.325702575302506,3,E16_03E,3
62,GU,61,2,1,2020-09-12,1,1,6,0.2695,7,E16_03E,3
63,GU,60,2,0,NAT,NA,NA,4,0.281716917683487,3,E16_03E,3
64,GU,63,2,1,NAT,NA,NA,5,0.2185,7,E16_03E,3
65,GU,59,2,0,NAT,NA,NA,3,0.235057096421454,4,E16_03E,3
66,GU,65,2,1,NAT,NA,NA,4,0.159,5,E16_03E,3
67,GU,51,2,0,NAT,NA,NA,0,0.900791215842859,7,NA,3
68,GU,67,2,1,NAT,NA,NA,0,0.820627684305909,9,NA,3
69,GU,68,2,1,NAT,NA,NA,0,0.775321532829637,10,NA,3
70,GU,69,2,1,NAT,NA,NA,0,0.647479278377078,15,NA,3
71,GU,70,2,0,NAT,NA,NA,6,0.378953413094123,7,E16_02A,3
72,GU,71,2,1,NAT,NA,NA,11,0.328,13,E16_02A,3
73,GU,70,2,0,NAT,NA,NA,4,0.553332663404085,11,E16_02A,3
74,GU,73,2,1,NAT,NA,NA,9,0.508941807917563,8,E16_02A,3
75,GU,74,2,1,2020-09-12,1,1,13,0.4565,16,E16_02A,3
76,GU,74,2,0,NAT,NA,NA,2,0.19,8,E16_02A,3
77,GU,70,2,0,NAT,NA,NA,5,0.286736526697742,7,E16_02A,3
78,GU,77,2,1,NAT,NA,NA,8,0.2245,8,E16_02A,3
79,GU,69,2,0,NAT,NA,NA,0,0.479958824435416,10,NA,3
80,GU,79,2,1,NAT,NA,NA,2,0.434047744030981,9,E16_02B,3
81,GU,80,2,1,NAT,NA,NA,10,0.386404222655608,11,E16_02B,3
82,GU,81,2,1,NAT,NA,NA,14,0.336,14,E16_02B,3
83,GU,67,2,0,NAT,NA,NA,0,0.474538853628905,10,NA,3
84,GU,83,2,1,NAT,NA,NA,0,0.428460485597234,10,NA,3
85,GU,84,2,1,NAT,NA,NA,0,0.239825267540109,10,NA,3
86,GU,85,2,0,NAT,NA,NA,7,0.1655,5,E16_02C,3
87,GU,84,2,0,NAT,NA,NA,5,0.255444064182523,7,E16_02C,3
88,GU,87,2,1,NAT,NA,NA,8,0.186,6,E16_02C,3
89,GU,84,2,0,NAT,NA,NA,3,0.129,3,E16_02C,3
90,GU,51,2,0,NAT,NA,NA,0,0.724096812866212,6,NA,3
91,GU,90,2,0,NAT,NA,NA,0,0.733700552520059,7,NA,3
92,GU,91,2,1,NAT,NA,NA,0,0.689393444900649,11,NA,3
93,GU,92,2,1,NAT,NA,NA,0,0.653195135597501,17,NA,3
94,GU,93,2,0,NAT,NA,NA,3,0.146,6,E16_03C,3
95,GU,93,2,0,NAT,NA,NA,2,0.1285,5,E16_03C,3
96,GU,93,2,0,NAT,NA,NA,4,0.299911496283295,7,E16_03A,3
97,GU,96,2,1,NAT,NA,NA,9,0.24,9,E16_03A,3
98,GU,93,2,0,NAT,NA,NA,1,0.290531616265915,7,E16_03A,3
99,GU,98,2,1,NAT,NA,NA,9,0.229,8,E16_03A,3
100,GU,93,2,0,NAT,NA,NA,4,0.400463280017138,8,E16_03A,3
101,GU,100,2,1,2020-09-12,1,1,12,0.351,12,E16_03A,3
102,GU,93,2,0,NAT,NA,NA,3,0.31117051620564,7,E16_03A,3
103,GU,102,2,1,NAT,NA,NA,7,0.253,10,E16_03A,3
104,GU,93,2,0,NAT,NA,NA,0,0.27386966217178,9,NA,3
105,GU,104,2,0,NAT,NA,NA,7,0.209,7,E16_03C,3
106,GU,92,2,0,NAT,NA,NA,7,0.271826183045498,13,E16_03B,3
107,GU,106,2,1,NAT,NA,NA,5,0.2065,7,E16_03B,3
108,GU,90,2,0,NAT,NA,NA,1,0.1445,8,E16_03B,3
